,head,relation,tail
10956,Not true,__label__Attack,"Senator McCain, this is the guy who sang, ""Bomb, bomb, bomb Iran,"" who called for the annihilation of North Korea"
10957,"if there's a two parent family, the prospect of living in poverty goes down dramatically",__label__Support,"tell our kids that before they have babies, they ought to think about getting married to someone"
10958,I have been able to reach across the aisle,__label__Support,I think it's fair to say that I have almost as many friends on the Republican side of the aisle as I do the Democratic side of the aisle
10959,"The right course for us is to make sure that we go after the -- the people who are leaders of these various anti-American groups and these -- these jihadists, but also help the Muslim world",__label__Attack,That's not the right course for us
10960,I want to bring down the tax burden on middle-income families,__label__Support,Those are my principles
10961,making sure they get a fair break,__label__Support,"I would carry out Barack Obama's policies, his policies of reinstating the middle class"
10962,I'll take programs that are currently good programs but I think could be run more efficiently at the state level and send them to the state,__label__Support,This is the approach we have to take to get America to a balanced budget
10963,a major difference in this campaign is that Governor Romney feels comfortable having politicians in Washington decide the health care choices that women are making,__label__Support,I think that's a mistake
10964,It had nothing to do with us,__label__Support,We were not involved
10965,where the opium production is 75 percent of the world's opium production,__label__Support,The center is Afghanistan
10966,"while you were on the board of the Woods Foundation, you and Mr. Ayers, together, you sent $230,000 to ACORN",__label__Attack,The only involvement I've had with ACORN was I represented them alongside the U.S. Justice Department in making Illinois implement a motor voter law that helped people get registered at DMVs
10967,You've already spent $45 million scaring seniors and tearing me apart,__label__Support,I think it's time to have a truce
10968,"I have never made the statement that he suggested about nuclear proliferation and nuclear proliferation, or the trying to halt it, would be a major part of a foreign policy of mine",__label__Attack,"When Governor Reagan has been asked about that, he makes the very disturbing comment"
10969,"There's an epidemic of drugs, crime and violence",__label__Support,they're facing a financial and social crisis
10970,looking back on that she said it was a mistake,__label__Support,"she said I wished at that time, that I was going through this difficult time, that I had counseling to talk about the post-abortion trauma, and talk about adoption rather than abortion. Because if I had had that discussion, I would have had the child"
10971,"that requires a tougher sentencing, mandatory certain prison sentences for those who violate our criminal laws",__label__Support,We believe that we can uh do a better job in the area of crime
10972,I don't think that's the role of the president,__label__Attack,"If you're from Washington, you want to pick and choose winners"
10973,"our energy is low cost, that are already beginning to come back because of our abundant energy",__label__Support,"if we do what I'm planning on doing, which is getting us energy independent, North America energy independence within eight years, you're going to see manufacturing jobs come back"
10974,that they're able to go back and forth to see their families,__label__Support,It makes sure that the people coming across the border are humanely treated
10975,I served at the UN,__label__Support,I don't think we can turn over these kinds of decisions of the collective defense to the United Nations or anything else
10976,We didn't recognize them for two months,__label__Support,"The Communists say, ""Come with us; look what we've done."" And we've been in - on the whole, uninterested"
10977,"We've been for that for four, five, six years",__label__Support,"we passed the Kassebaum-Kennedy, the Kennedy Kassebaum bill that will cover about 20 to 25 million people"
10978,I will have day-to-day activities with all the people in government,__label__Support,I will be prepared to do that
10979,you can't cure unless you know,__label__Support,One of the good things we've gone in Texas is we have strong accountability
10980,"Senator, I served with Jack Kennedy",__label__Support,"Senator, you are no Jack Kennedy"
10981,this is a critical opportunity for America,__label__Support,"We should be playing the leadership role there, not on the ground with military"
10982,you can have both,__label__Support,You don't have to have a choice between the environment and jobs
10983,you mentioned Donald Trump,__label__Support,It's not just Donald Trump you're taxing
10984,He voted against the creation of Head Start,__label__Attack,Bob Dole wants to empower the public school districts and the teachers
10985,There's enough money to pay seniors today in the current affairs of Social Security,__label__Attack,the money is used to pay the benefits for seniors this year
10986,"which, by the way, was a fraud",__label__Attack,"President Obama, by keeping those lines, the boundary lines around each state, it was almost gone until just very toward the end of the passage of Obamacare"
10987,we need exchange,__label__Support,What tools do we need to fight us
10988,we are weak,__label__Attack,Under this administration that strength has not been realized
10989,There have been some tough cases come across my desk,__label__Support,Some of the hardest moments since I've been the governor of the State of Texas is to deal with those cases
10990,"But if we repeal it, as Donald has proposed, and start over again, all of those benefits I just mentioned are lost to everybody, not just people who get their health insurance on the exchange",__label__Support,then we would have to start all over again
10991,"corruption in official agencies, like militaries and police departments around the world, customs officials, that's one of the worst forms of it",__label__Support,I think one of the big issues here that doesn't get nearly enough attention is the issue of corruption
10992,that allow them to profit offshore and not have to get taxed,__label__Support,I want to close loopholes that allow companies to deduct expenses when they move to China
10993,I think we should try to raise the fuel efficiency,__label__Attack,one mistake he's made is fuel efficiency standards at 40 to 45 miles a gallon will throw many auto workers out of work
10994,It does not happen that the church that I belong to had that as part of its dogma,__label__Support,I know that some churches do
10995,almost all economists who've looked at it say that if you cut the deficit this much this quick,__label__Support,it will slow down the economy
10996,"My plan also says it requires a new approach in Washington, D.C.",__label__Support,"I know it will require a different kind of leader to go to Washington to say to both Republicans and Democrats, let's come together"
10997,"I had a person in the Oval Office who lost a child in a school bus accident where a drunk driver caused the accident directly, but there were problems with the school bus",__label__Support,The drunk driver had no money
10998,It's been a big failure,__label__Support,I opposed the grain embargo in my administration
10999,I supported what we did in Kosovo,__label__Support,I have a record
11000,I have budgeted for that,__label__Support,"We've got to recruit 100,000 new teachers"
11001,no quotas,__label__Support,don't give up on making an extra effort until you're sure everybody has a chance to prove they're qualified
11002,"Secretary of State Colin Powell told this president the Pottery Barn rule: If you break it, you fix it",__label__Support,you've got to fix it and do something with it
11003,We have to make sure that our technological and intelligence capabilities are better,__label__Support,we have a long way to go in our intelligence services
11004,"They cover 98% of their people and their insurance premiums are much cheaper than the rest of America, and so does Rochester, New York",__label__Support,They now have a plan to cover everybody and their premiums are two-thirds of the rest of the country
11005,"Barack Obama, first thing he did when he came to the United States Senate, new senator, reached across the aisle to my colleague, Dick Lugar, a Republican, and said, ""We've got to do something about keeping nuclear weapons out of the hands of terrorists.""",__label__Support,"They put together a piece of legislation that, in fact, was serious and real"
11006,there is no system,__label__Support,This president has turned his back on the wellness of America
11007,It's not,__label__Attack,This is a government that thinks a 2% rate of return on your money is satisfactory
11008,we don't have good trade agreements across the world,__label__Attack,I'm for free trade philosophically
11009,our politicians never do this,__label__Support,they have special interests
11010,I’m going to help the African-Americans,__label__Support,"I’m going to help the Latinos, Hispanics"
11011,"We're going to repeal the seven-and-a-half million words of the U.S.tax code, make it tax income once, not twice, three, four, and if you die, it confiscates your estate",__label__Support,"Bob Dole and Jack Kemp, as soon as we get through this first step of cutting tax rates across the board, are going to repeal the whole code"
11012,This grain deal with the Soviet Union in '72 was terrible,__label__Attack,these grain sales to the Soviet Union have helped us tremendously in meeting the costs of the additional oil
11013,people at the lowest end can buy in there and get their needs covered,__label__Support,It lies to me in flexibility in Medicaid
11014,There won't be 10 millionaires and 14 lawyers in the cabinet,__label__Support,I want people in my administration and will have people in my administration who understand America
11015,"they're not getting the $5,100 the president promised them",__label__Support,you know why the Pell Grants have gone up in their numbers
11016,I know how to win,__label__Support,I have a winning temperament
11017,I think the Atomic Energy Committee is prepared for it,__label__Support,"if we fail responsibility will be clearly on the Russians and then we'll have to meet our responsibilities to the security of the United States, and there may have to be testing underground"
11018,now you want to waffle around on it and give the impression that maybe you don't really mean what you say,__label__Support,you can clear it up by simply repeating I support the right of a woman to choos
11019,"The amount of money that has to be raised in taxes for middle-class families to make up for completely eliminating that on the very wealthiest, the billionaires, that would be an extra heavy burden on middle-class families",__label__Support,now the problem with completely eliminating it goes back to the wealthiest 1%
11020,"I have said freely, all over this country, that it was a mistake for me or anyone to ever try to put the Judeo-Christian heritage of this country, important as it is, and important as my religious faith is to me - it's a very deeply personal matter",__label__Support,"I think mother ought to whisper to Johnny and to Susie, as they button their coats in the morning and leave for the classroom, ""Be sure to say a prayer before you start your day's work."""
11021,That's not smart,__label__Support,It's a bad idea to increase the burden on those folks
11022,"Bill Clinton, when he was governor of Arkansas, also worked with the Right to Life people and supported Right to Life positions and now he has changed",__label__Support,Bill Clinton has the same type of a record
11023,I could get rid of it in 4 years in theory on the books now,__label__Support,I think we can bring it down by 50% in 4 years and grow the economy
11024,they were a legitimate effort to help people make the most of their own lives,__label__Support,All of these are programs that Senator Dole opposed that I supported
11025,"if that becomes a permanent agreement, will have to make a reduction in their launchers that they now have or plan to have",__label__Support,I believe that we have uh - negotiated with the Soviet Union since I've been president from a position of strength
11026,We don't have to settle for what we're going through,__label__Support,"If I become president, I'll get America working again"
11027,starting with low-level diplomatic talks,__label__Support,Of course we've got to do preparations
11028,I think it's an extremely valuable service to have a voice within the Republican party who says we ought to be one nation,__label__Support,"I think Mr. Lehrer, that throughout much of his career, Jack Kemp has been a powerful and needed voice against the kind of coarseness and incivility that you refer to in the question"
11029,Her science class was supposed to be for 24 students,__label__Support,She's the 36th student in that classroom
11030,what we need is more UAVs,__label__Support,"the military says we need a smaller, leaner Army, we need more special forces"
11031,I promised a new beginning,__label__Support,"So far, it is only a beginning"
11032,She worked her way up,__label__Support,"only had a high school education, started as a secretary, ended up being the vice president of a local bank"
11033,"When I walked into the Oval Office, I had more than a trillion-dollar deficit greeting me",__label__Support,we know where it came from: two wars that were paid for on a credit card; two tax cuts that were not paid for; and a whole bunch of programs that were not paid for; and then a massive economic crisis
11034,it can make a difference,__label__Attack,It can't do it all
11035,I do not believe we should have either compulsory arbitration or seizure,__label__Support,"I have a basic disagreement with Senator Kennedy, though, on this point"
11036,When I came back from that war I saw that it was wrong,__label__Support,That's what I learned in Vietnam
11037,"I think math, common sense, and our history shows us that's not a recipe for job growth",__label__Attack,Governor Romney's plan may work for you
11038,The administration did not deal with it,__label__Support,This is a major problem facing America
11039,I talked to him about how best to expedite the exploration of natural gas in Mexico and transport it up to the United States so we become less dependent on foreign sources of crude oil,__label__Attack,This is a major problem facing America
11040,I don't believe in discrimination,__label__Support,to build a sense of community so we're all working together
11041,We're going to focus on the middle class,__label__Attack,it brings us back to maybe the fundamental disagreement between Governor Palin and me and Senator McCain and Barack Obama
11042,"if we continue with these policies, this trillion and a half dollars worth of new debt that's already been added on the backs of the American taxpayer is going to increase even more",__label__Support,"if we continue with this for another four years, then I'm worried about the next generation, whether we can ever turn this situation around"
11043,it's starting to fall apart not because of lawsuits,__label__Attack,Vaccine manufacturers are worried about getting sued
11044,I also intend to double the number of special forces,__label__Support,"in my plan, I add two active duty divisions to the United States Army, not for Iraq, but for our general demands across the globe"
11045,That is the central issue of our time,__label__Support,we can't do what Senator Obama wants to do
11046,the president received a letter from 38 Democrat senators saying the tensions with Israel were a real problem,__label__Support,in part because of the -- the -- the turmoil with Israel
11047,My administration has tripled the amount of money we're spending on homeland security to $30 billion a year,__label__Support,we could better coordinate our borders and ports
11048,"You cannot have a war on drugs, you cannot be tough on drugs and weak on crime",__label__Attack,He also was opposed to mandatory drug sentencing for drug dealers in the state of Massachusetts
11049,we need more community health centers,__label__Support,"for the working folks that do want to have health care that can't afford it, a couple of things we need to do"
11050,The connection that's been made again between the deficit and the interest rates,__label__Support,there is no connection between them
11051,It comes right out of your paycheck,__label__Support,This doesn't mean that the people aren't going to be paying the bill
11052,it's near and dear to my heart,__label__Support,"We need to make sure that education in either one of our agendas, I think, absolute top of the line"
11053,we can only be a superpower if we are an economic superpower,__label__Support,I think is very important for us to let them assume more and more of the burden and for us to bring that money back here and rebuild our infrastructure
11054,to say that this is the best economy in 30 years just staggers the imagination,__label__Attack,We have the lowest combined rate of inflation and unemployment in 30 years
11055,Culture of life is really important for a country to have,__label__Support,I also think we ought to continue to have good adoption law as an alternative to abortion
11056,that's why you have to have tough and good and fair enforcement of it,__label__Support,that's why you have to have OSHA
11057,There's a pattern here of appealing to the auto workers and then trying to appeal to the spotted owl crowds or the extremes in the environmental movement,__label__Support,you can't have it both ways
11058,Weâ€™re the best and the most efficient farmers,__label__Support,We're the best producers in the world
11059,I would like to unite this country to get an agenda done that will speak to the hopes and aspirations of the future,__label__Support,I'm running to get some things done for America
11060,"I've dealt with many a president, and I don't hesitate for a minute to speak up",__label__Support,"I think it's part of the strength and the character of this land that he reaches out, and that he wants someone that will speak up"
11061,Mr. Carter had canceled the B-I bomber,__label__Support,"taking that one no from the Soviet Union, we then went back into negotiations on their terms"
11062,"I was probably one of the first senators, along with Senator Bob Smith of New Hampshire, a former senator, to go down into the KGB underneath Treblinka Square and see reams of files with names in them",__label__Support,I've had an extraordinary experience of watching up close and personal that transition in Russia
11063,No nation will ever have a veto over us,__label__Support,I will never turn the security of the United States over to any nation
11064,"John Kerry, Mr. Vice President, has voted or co-sponsored over 600 times tax cuts for the American people",__label__Support,We are committed to cutting back anything in our programs that need to be cut back to get us back on a path to fiscal responsibility
11065,I'm going to do as president of the United States.,__label__Support,we've got to prioritize both our spending side and our tax policies to make sure that they're working for you
11066,"I have just signed legislation to add to our ability to deal, along with our allies, with this terrorist problem",__label__Support,"In dealing with terrorists, yes, we want to retaliate"
11067,In the case of the Helsinki agreement - it may have been a good agreement at the beginning,__label__Support,"we have failed to enforce the so-called basket three part, which insures the right of people to migrate, to join their families, to be free, to speak out"
11068,which is exactly what the refuge at its best in Alaska would produce,__label__Support,If we can get three miles more per gallon from our cars we'll get a -- we'll save 1 million barrels of oil a day
11069,The president needed the authority to use force in order to be able to get him to do something,__label__Support,we didn't need to rush to war without a plan to win the peace
11070,That is absolutely absurd,__label__Attack,"I suggest, in the sense of taking responsibility for your actions, we lay those papers on the table"
11071,I think that would destroy the integrity and the strength of NATO,__label__Attack,Mr. Carter has indicated he would look with sympathy to a Communist government in NATO
11072,That's what reporters called it,__label__Support,That's not my phrase
11073,I trust you with your own money.,__label__Support,It's just the right position to take
11074,we have a plan to keep you safe and to fix this mess in Iraq,__label__Support,John Kerry and I believe that we can do better
11075,"we need a fresh start, a new credibility, a president who can bring allies to our side",__label__Support,I have a difference with this president
11076,before we made a bluffing statement,__label__Support,"we were sure that we had the backing not only of the president and the secretary of state, but also of the Congress and the people"
11077,I signed the homeland security bill to better align our assets and resources,__label__Support,"At home, we'll do everything we can to protect the homeland"
11078,DIVAD,__label__Support,I can tell him some I'm against
11079,it's lower than the uh 5 percent growth in the second quarter,__label__Support,over the last ten years that's a higher figure than the average growth during that ten-year period
11080,"When Mr. Nixon went in office, for instance, we had three and a half million dollars spent on - on the White House and its staff",__label__Support,We now have uh - a greatly expanded White House staff
11081,except they didn't ever go on and define what a qualified mortgage was.,__label__Attack,"so Dodd-Frank correctly says we need to have qualified mortgages, and if you give a mortgage that's not qualified, there are big penalties"
11082,"China is both an adversary, but also a potential partner in the international community",__label__Attack,if it's following the rules
11083,There's afterschool money available,__label__Support,I think that afterschool money ought to be available for faith-based programs and charitable programs that exist
11084,"what you do is you say, fine, you want to go to Mexico or some other country, good luck",__label__Support,they're leaving in bigger numbers than ever
11085,My opponent looked at the same intelligence I looked at and declared in 2002 that Saddam Hussein was a grave threat,__label__Support,I agree with him
11086,If I'm president I will create -- help create 12 million new jobs in this country with rising incomes,__label__Attack,You'll see chronic unemployment
11087,"I have worked hard for things like the Family and Medical Leave Law, the Brady Bill, the assault weapons ban, the program to put 100,000 police on the street",__label__Attack,All of these are programs that Senator Dole opposed that I supported
11088,"the revenue I get is by more people working, getting higher pay, paying more taxes",__label__Support,That's how we get growth and how we balance the budget
11089,We've got to show that we've got good habits,__label__Support,I think it starts with Washington
11090,"in an Obama-Biden administration, there will be absolutely no distinction from a constitutional standpoint or a legal standpoint between a same-sex and a heterosexual couple",__label__Support,"The fact of the matter is that under the Constitution we should be granted -- same-sex couples should be able to have visitation rights in the hospitals, joint ownership of property, life insurance policies, et cetera"
11091,Don Nichols on the International Religious Freedom Act,__label__Support,I certainly think that would be an asset that I could bring to the vice presidency should I be fortunate enough to be elected
11092,"if he'd had his way, there wouldn't have been any housing project there at all",__label__Attack,we're taking care of more people than has ever been taken care of before by any administration in this country
11093,We had the highest fatalities among U.S. troops this past year than at any time since 2002,__label__Support,"Yes, I think we need more troops"
11094,Let me just tell you who the jury is,__label__Support,The people of Texas
11095,I can't say when this can come,__label__Support,I can guarantee it will not come if Gerald Ford is reelected and this present policy is continued
11096,if there isn't the types of policies that will enhance the formation of the seed corn and the oxygen and the capital that would allow that company not only retain that profit but invest it,__label__Support,I am astounded to think that you can have a strong Family Leave Act or policy by a business if they're not making a profit
11097,I'm not proud of any record,__label__Support,I'm not proud of any record
11098,I think you see once again a piece of Democratic legislation that's been passed to try protect the working men and women of America,__label__Support,that's why it's important that you have people that truly believe and trying to represent the working men and women of America
11099,Donald never tells you what he would do,__label__Support,we need to be more precise in how we talk about these issues
11100,There's no doubt about it that many American people have lost their faith in government,__label__Support,I've always tried in whatever I've done is to bring people together
11101,People are going to come in from Syria,__label__Attack,She wants open borders
11102,he has campaigned for me around the country,__label__Support,you are the most dangerous person to run for president in the modern history of America
11103,that's good for our economic growth,__label__Support,The first thing we did was to streamline the legal immigration system
11104,Bill Clinton wants to cut defense another $60 billion,__label__Support,a $60 billion defense cut is going to cut a lot of jobs out
11105,I want to take that $716 billion you've cut and put it back into Medicare,__label__Attack,I can't understand how you can cut Medicare $716 billion for current recipients of Medicare
11106,Barack Obama and I agree fully and completely on one thing: You've got to have a time line to draw down the troops and shift responsibility to the Iraqis,__label__Attack,We're spending $10 billion a month while the Iraqis have an $80 billion surplus
11107,this administration had been given the amount of funding that it had requested from the Republican Congress,__label__Attack,we would be further along in the implementation of that long-term strategy aimed at developing cleaner sources of energy
11108,This is the way it ought to work,__label__Support,give more power back to the states and back to the people back to the taxpayers
11109,The companies are leaving,__label__Support,the first thing you do is don't let the jobs leave
11110,the president is just trying to scare everybody here with throwing labels around,__label__Support,labels don't mean anything
11111,we want to bring him to justice,__label__Support,call off all those pickets out there that are trying to tear down seven different administrations
11112,a lot of people that feel like we should just brush our hands and walk away,__label__Support,"I don't mean you, Mr. President, but some people in the -- in our nation feel that Pakistan is being nice to us, and that we should walk away fro mthem"
11113,I did everything I could to get General Motors to face its problems in the mid-'80s while it was still financially strong,__label__Support,I think the General Motors thing is very relevant
11114,We need to rebuild our alliances,__label__Support,"I believe that a fresh start, new credibility, a president who can understand what we have to do to reach out to the Muslim world to make it clear that this is not"
11115,the president wants the top effective tax rate on successful small businesses to go above 40 percent,__label__Support,we need fundamental tax reform
11116,"when these people are going to put billions and billions of dollars into companies, and when they're going to bring $2.5 trillion back from overseas",__label__Support,I'm really calling for major jobs
11117,I think that was mean-spirited,__label__Support,"I think our future requires a President to lead us in an all-out search to advance our education, our learning, and our science and training"
11118,that's what'll work here,__label__Support,The answer is to invest and grow this economy
11119,I have more experience and accomplishments than does the Governor of Massachusetts,__label__Support,I'm prepared
11120,We've gone from first to twelfth in the world in wages,__label__Support,the national debt is not the only cause of that
11121,it was sponsored by Bush and Cheney,__label__Support,"It was an energy bill on the floor of the Senate loaded down with goodies, billions for the oil companies"
11122,A difference between big exploding federal government that wants to think on your behalf and a plan that meets priorities and liberates working people to be able to make decisions on your own,__label__Support,It's a huge difference
11123,but I was not quite sure if I were ever to become pregnant as result of a rape if I would be that self-righteous,__label__Support,"I then spoke to him; he said, Gerry, that's not good enough"
11124,Not because I am preaching to the people of the South because this isn't just a Southern problem,__label__Attack,I do it because it's the responsibility of leadership
11125,Governor Romney's allies in Congress have held the 98 percent hostage,__label__Support,The only reason it's not happening
11126,I don't like that term,__label__Attack,"I want to give seniors who are, well, the near elderly"
11127,We're using unmanned vehicles to spot people coming across,__label__Support,We're increasing the border security of the United States
11128,we have so mismanaged our country over the years,__label__Support,it is now time to pay the fiddler
11129,I think the people viewing out there ought to go back and take a look at the record when he fought a balanced budget amendment,__label__Attack,"A lot of these election-year conversions, the President talks about the drug money, and all the other things, all this antismoking campaign all happened in 1996"
11130,I think in the final analysis it depends upon what we do here.,__label__Support,I think it can be.
11131,They were presidents at historic times,__label__Support,This is an historic time
11132,Our country now has no comprehensive energy program or policy,__label__Support,We have uh - just advocated uh - this past week a consolidation of the responsibilities for energy
11133,You also have investments through a Cayman's trust,__label__Support,Look at your pension
11134,It happens all across the United States,__label__Support,"since Bill Clinton made this the first law he signed, it has been use 12 million times by American families to reconcile the demands of work with the responsibilities to the family"
11135,Let's look at the reaction eh - reaction to Khrushchev and Eisenhower at the last U.N. session. Did Khrushchev gain because he took his shoe off and pounded the table and shouted and insulted? Not at all,__label__Support,The President gained
11136,"If you think the Republican party is some place for you to come if you're narrow minded or bigoted or don't like certain people in America, the exits are clearly marked for you to walk out of as I stand here without compromise",__label__Support,I've always tried in whatever I've done is to bring people together
11137,I have a plan to let you buy into the same health care senators and congressmen give themselves,__label__Support,I have a plan
11138,in 2006 seniors are going to get prescription drug coverage for the first time in Medicare,__label__Support,I think our seniors deserve a modern medical system
11139,"The biggest problem I have with the stupidity of our foreign policy, we have Mosul",__label__Support,we will be attacking Mosul in three weeks or four weeks
11140,What are we waiting for,__label__Attack,"three years after 9/11, we find out that the administration still does not have a unified terrorist watch list"
11141,We've had the creation of more new small businesses in the last four years in each of the last three years than in any other year in all of American history,__label__Attack,How about the small businessmen and women of America that create 91% of all the new jobs
11142,"Now, in my capacity as vice president, I am the president of Senate, the presiding officer. I'm up in the Senate most Tuesdays when they're in session.  The first time I ever met you was when you walked on the stage tonight",__label__Support,"You've missed 33 out of 36 meetings in the Judiciary Committee, almost 70 percent of the meetings of the Intelligence Committee"
11143,"we need, for example, economic assistance",__label__Support,What tools do we need to fight us
11144,That's what we've been going through for the last eight years,__label__Support,He believes in deregulation in every circumstance
11145,That is a fundamental difference that I have with Senator McCain,__label__Support,"in that situation, what happens is, is that the protections you have, the consumer protections that you need, you're not going to have available to you"
11146,if we adopted Senator Obama's set date for withdrawal,__label__Support,"if we suffer defeat in Iraq, which General Petraeus predicts we will"
11147,figuring out how the American people can send their kids to college,__label__Support,that is something that I would welcome
11148,You're wrong,__label__Attack,"You were very clear that you would not provide, government assistance to the U.S. auto companies, even if they went through bankruptcy"
11149,The Constitution is explicit,__label__Attack,The idea he's part of the Legislative Branch is a bizarre notion invented by Cheney to aggrandize the power of a unitary executive
11150,"he paid $25,000 to the families of suicide bombers",__label__Support,"Concern about Iraq specifically focused on the fact that Saddam Hussein had been, for years, listed on the state sponsor of terror"
11151,A brown field is an abandoned industrial site that just sits idle in some of our urban centers,__label__Support,"I think we ought to have federal liability protection, depending upon whether or not standards have been met"
11152,the enemy only has to be right once to hurt us,__label__Support,we have to be right 100 percent of the time
11153,I've supported all the education programs,__label__Attack,Senator Dole has consistently opposed Federal help to education
11154,we alienated the Pakistani population,__label__Support,"the problem, John, with the strategy that's been pursued was that, for 10 years, we coddled Musharraf"
11155,one-fourth only was rnilitary,__label__Attack,You wouldn't get that from listening to Mr. Mondale
11156,How is raising taxes going to help the farmer?,__label__Support,How is raising taxes going to help the consumer in America?
11157,The President held it up,__label__Support,The President was opposed to it in 1993
11158,We have to renegotiate our trade deals,__label__Support,We cannot let it happen
11159,That's the plan for victory,__label__Support,"when Iraq if free, America will be more secure"
11160,The recession that resulted this time was the briefest since the Second World War,__label__Support,it's important to put the situation in perspective
11161,I was one of the original authors of the early childhood health care and the expansion of health care that we did in the middle of the 1990s,__label__Support,the president's wrong
11162,"perhaps they passed the wrong button, they pressed the wrong button, or perhaps worse than that, it was corruption, but these people that we were going to deport for good reason ended up becoming citizens",__label__Support,We are a nation that is seriously troubled
11163,we support in general the hope that over time,__label__Attack,It's an example of how oftentimes we may be associated with organizations all of whose particular positions we don't support
11164,The fact that the U.S. military is worse off today than it was eight years ago,__label__Support,a high priority for myself and Governor Bush to rebuild the U.S. military and to give them the resources they need to do the job we ask them to do for us and give them good leadership
11165,We're a nation that believes in the Second Amendment,__label__Support,I believe in the Second Amendment
11166,My plan is not to put in place any tax cut that will add to the deficit,__label__Attack,That's not my plan
11167,it will come if I'm elected,__label__Attack,I can guarantee it will not come if Gerald Ford is reelected and this present policy is continued
11168,it isn't worth the paper it's printed on,__label__Attack,I'm pledged to do that
11169,You can't do that as president,__label__Attack,"On the one hand, it's a good deal but on the other hand I'd make it better"
11170,The secretary of state has appeared in the several years that he's been the secretary before eighty different uh - committee hearings in the House and in the Senate,__label__Support,The secretary of state has made better than fifty speeches all over the United States explaining American foreign policy
11171,I had a question and the question was how much did you cut them by,__label__Support,How much did you cut them by
11172,"It's that he gave his time, and he has consistently",__label__Support,"When he told me this story, he said it wasn't the help, the cash help"
11173,I don't see how the Iraqis are going to have confidence in the American president,__label__Attack,I don't think my opponent has got the right view about the world to make us safe
11174,he is going to tax your employer-based health care benefits for the first time ever,__label__Attack,"he's going to give you a $5,000 tax credit"
11175,"I have met met uh - decisions over eight hundred times on matters which affect not only the domestic security of the United States, but as a member of the Senate Foreign Relations Committee.",__label__Attack,Senator Kennedy's is there for the people to consider.
11176,"As a businessperson, I had to have -- I need to know the regulations",__label__Support,You can't have a free market work if you don't have regulation
11177,They're saying no,__label__Support,These guys won't allow us to
11178,"We're telling other people, ""You can't have nuclear weapons,"" but we're pursuing a new nuclear weapon that we might even contemplate using",__label__Support,It doesn't make sense
11179,Meg Whitman was CEO of a company that started with 12 people,__label__Support,I like Meg Whitman
11180,better adoptive procedures,__label__Support,I'll do everything I can to minimize the need for abortions
11181,They don't give you all the details that tax returns would,__label__Support,"the financial disclosure statements, they don't give you the tax rate"
11182,I would use pressure and diplomacy,__label__Support,It's not in our national interest to use force in this case
11183,I pay for it by changing the relationship with the banks,__label__Support,We raise the student loans
11184,we'd spend more money and I hope more wisely on defense than this Administration has,__label__Support,I believe that the next Administration should work for a balanced budget
11185,He has not supported tax cuts and significant changes for people being able to send their kids to college,__label__Support,"He's been a maverick on some issues, but he has been no maverick on the things that matter to people's lives"
11186,saved jobs throughout America,__label__Support,"Over the long term, in order for us to compete with China, we've also got to make sure, though, that we're taking -- taking care of business here at home"
11187,Libya was a threat,__label__Support,"by speaking clearly and sending messages that we mean what we say, we've affected the world in a positive way"
11188,"quite a reversal from the first time, from the first time when he said he was going to do something?",__label__Support,is this President going to take some action
11189,"Israel, the president said that -- that he was going to put daylight between us and Israel",__label__Support,this calls into question the president's whole policy in the Middle East
11190,"We've never let the Congress and the Foreign Relations, Senate Intelligence Committees see them",__label__Support,"Then at the end of the war, when they had to go testify about it, their stories are a total disconnect from what they said in August, September and October"
11191,It's one of the reasons for the great financial calamity we had,__label__Support,"so Dodd-Frank correctly says we need to have qualified mortgages, and if you give a mortgage that's not qualified, there are big penalties"
11192,that's simply not the case,__label__Support,I am going to continue to defend my record and defend my propositions against what I think are exaggerations
11193,"You look at the violence that’s taking place in the inner cities, Chicago, you take a look at Washington, D.C.We have a increase in murder within our cities, the biggest in 45 years",__label__Support,We have a divided nation
11194,His plan is three times larger than President Clinton's proposed plan eight years ago,__label__Support,"It is a plan that will have 200 new programs -- expanded programs and creates 20,000 new bureaucrats"
11195,they outnumbered us 64 to 36 in submarines and 20 percent more bombers capable of carrying nuclear missiles than we had,__label__Support,it was a surprise to us
11196,"if the Soviet Union were to ever believe that they could challenge the United States with any sort of nuclear forces or otherwise, if I were in a position of leadership in this country, they would be assured that they would be met with swift, concise and certain retaliation",__label__Support,I'm prepared to do whatever is necessary in order to secure this country and make sure that security is maintained
11197,"What if we had a homestead act, and said to the people, for $1 we sell you this house",__label__Support,We could have an urban homestead act
11198,We do that all the time,__label__Support,"he encourages and other people encourage contacts, and negotiations, and all other things"
11199,particularly young people should not smoke,__label__Support,my record is there
11200,we have to have the type of economic prosperity that will allow us to generate the revenues to provide this technology,__label__Support,This economy is not growing fast enough and it will under Bob Dole and Jack Kemp
11201,He secondly said you have to focus on homeowners and folks on Main Stree,__label__Support,Barack Obama laid out four basic criteria for any kind of rescue plan here
11202,Maybe you don't go out to dinner as much,__label__Support,"If less money is coming in, you end up making cuts"
11203,"we're not going to simply kill some people to say, ""Oh, look, we got even.''",__label__Attack,He didn't
11204,he was doing what he could do to get a better job in the mill where he worked,__label__Support,I was proud of him
11205,"Mr. Kemp voted against the Clean Water Act, voted against the renewal of the Superfund Act",__label__Support,it takes values that recognize the importance of the environment
11206,"That was the decision of the Joint Chiefs of Staff, recommended to us and agreed to by the president",__label__Support,That is a fact
