,Unnamed: 0,head,relation,tail
8234,6083,"That means higher mortgage payments, particularly those with the variable rate mortgages, higher car payments, he would also lead to much deeper cuts in Medicare, Medicaid, education and the environment",__label__Support,it would raise interest rates
8235,6084,"If we have more people hired, if we get back manufacturing jobs, if we get back all kinds of jobs into this country, then you're going to see rising incomes again",__label__Support,My priority is making sure that we get more people hired
8236,6085,the media have been wrong before,__label__Support,don't always believe what you see on television
8237,6086,"taking on my party, the other party, the special interests, whether it be an HMO Patients' Bill of Rights, or trying to clean up the campaign finance system in -- in this country, or whether it be establishment of a 9/11 Commission, I have a long record of it",__label__Support,I have a record of reform
8238,6087,We need this kind of strength,__label__Support,we must increase our strength
8239,6088,And Barack Obama at first said he would not do that,__label__Support,Barack Obama voted against funding troops there after promising that he would not do so
8240,6089,"it's leveled again, but in the meantime you've wrecked the country with these kind of deals",__label__Support,We got to cut it out
8241,6090,These people are tough,__label__Support,now we have a chance
8242,6091,Governor Carter apparently doesn't know the facts,__label__Attack,"The number one responsibility of any president, above all else, is to guarantee the security of our nation - an ability to be free of the threat of attack, or blackmail and to carry out our obligations to our allies and friends, and to carry out a legitimate foreign policy"
8243,6092,I want to give people permanent incentives on investment tax credit,__label__Support,the money that I raise from upper-income people and from asking foreign corporations just to pay the same income on their income earned in America that American corporations do will be used to give incentives back to upper-income people
8244,6093,we have never made concessions without getting concessions in return,__label__Support,"in our seven years, we find that we have been firm in our diplomacy"
8245,6094,We cannot afford stoppages of massive effect on the economy when we're in the terrible competition we're in with the Soviets,__label__Support,"however good the record is, it's got to be better"
8246,6095,I think we've got to be very careful in balancing the ethics and the science,__label__Support,"I made the decision we wouldn't spend any more money beyond the 70 lines, 22 of which are now in action"
8247,6096,Met Mr. Shevardnadze and talked substance with him the other day,__label__Support,These people are tough
8248,6097,This is important business,__label__Support,This election is important
8249,6098,If we take your advice with respect to how we change our tax codes so that companies that earn profits overseas don't pay U.S. taxes compared to companies here that are paying taxes,__label__Support,"that's estimated to create 800,000 jobs"
8250,6099,"The fact is, we restored democracy to Haiti",__label__Attack,"the message from Haiti is quite ambiguous, notwithstanding the declaration of victory by this administration"
8251,6100,to see what they had in front of them,__label__Support,"when I think about Afghanistan, I think about the incredible job that our troops have done"
8252,6101,some are accusing us of injecting religion into politics,__label__Attack,"We don't think that's a merger of church and stare to have nonmandatory voluntary, nongovernment-ordered prayer."
8253,6102,I am suggesting the way to work out of poverty is through real opportunity,__label__Support,"I mean, there's a lot going on, a lotta opportunity"
8254,6103,so they can take their child to a -- to a school that he's being more successful,__label__Support,I propose we grade our schools
8255,6104,if I should serve out my term,__label__Support,to join me in being vice president
8256,6105,That crime bill is going to be one of my highest priorities next January if I become President,__label__Support,"Thirdly, we ought to have boot camps for first-time nonviolent offenders"
8257,6106,he does not tell the truth about it,__label__Support,"this is a fundamental problem with Bill Clinton, is trust and character"
8258,6107,"if we've learned anything over the last eight years, it is that one of the most important things the government can do, the federal government, probably the most important, is to be fiscally responsible",__label__Support,Al Gore and I are committed to balancing the budget every year
8259,6108,the two that are here are in more agreement than disagreement on this particular issue,__label__Attack,"the only one who would be disagreeing with us is the President, if he were present"
8260,6109,"Which our country should do, too",__label__Attack,"you wouldn't pay what the man needed to be paid, what he was charging you to do"
8261,6110,I think it's time that the wealthy and corporations paid their fair share to support this country,__label__Support,What I have proposed would be paid for by raising taxes on the wealthy
8262,6111,The ideas I express are mine,__label__Attack,I don't have any spin doctors
8263,6112,I have a better plan for homeland security,__label__Support,I can make American safer than President Bush has made us
8264,6113,"George W. Bush made the agreement about when American troops would leave Iraq, not Barack Obama",__label__Attack,"President Obama and Secretary Clinton created a vacuum the way they got out of Iraq, because they got out—what, they shouldn't have been in, but once they got in, the way they got out was a disaster"
8265,6114,"I reject the notion that some say that if you're Muslim you can't free, you don't desire freedom",__label__Support,"I disagree, strongly disagree with that"
8266,6115,"as long as we have seven and a half or eight million people out of work, who are looking for jobs",__label__Support,We'll never have a balanced budget
8267,6116,They put in $30 thousand of their own money and got a hundred and twenty thousand dollars in tax savings,__label__Support,"there was one example, for instance, where uh - somebody uh - produced pornographic movies"
8268,6117,Most people are working harder for less money than they were making 10 years ago,__label__Support,Unemployment is up
8269,6118,that is not right,__label__Support,Everybody who pays taxes ought to get some relief
8270,6119,Probably the single most important issue in this campaign,__label__Support,We want accountability
8271,6120,We went into Afghanistan and very quickly the administration made a decision to divert attention from that and instead began to plan for the invasion of Iraq,__label__Support,We turned -- this is the man who masterminded the greatest mass murder and terrorist attack in American history
8272,6121,"this year, we will send $90 billion out of this country to pay for imported oil, even though that. those imports have been reduced",__label__Support,I also suggested we ought to have an emergency excise tax on gasoline
8273,6122,"They said, ""It's a speech, we can't estimate speeches.""",__label__Support,that's what we get in this administration -- speeches
8274,6123,it's a bad policy,__label__Attack,That's his policy
8275,6124,our alliance is strong,__label__Support,That's the plan for victory
8276,6125,"He said, I felt so strongly about this, I went back and read the Lincoln-Douglas debates",__label__Support,Read those debates
8277,6126,"The federal government has been reduced in size by more than 300,000 people",__label__Support,"my plan for the future, I see a time when we have smaller, smarter government where you don't have to wait in line"
8278,6127,I was there as an observer on behalf of the Congress,__label__Support,Twenty years ago we had a similar situation in El Salvador
8279,6128,Now somebody says you ought to restore prayer in schools,__label__Support,You don't think it's right to prohibit a kid from praying in schools
8280,6129,Government-sponsored health care would lead to rationing,__label__Support,It would ruin the quality of health care in America
8281,6130,"When George Bush asked me to sign on, it obviously wasn't because he was worried about carrying Wyoming",__label__Support,"he wanted me to do was to sign on because of my experience to be a member of the team, to help him govern"
8282,6131,that difference would have been $131 million to the state of Arizona to help its kids be able to have better education and to lift the property tax burden from its citizens,__label__Support,We have a long distance yet to travel in terms of fairness in America
8283,6132,"they're in more and more places, more and more states, more and more nations",__label__Support,"Right now, it's getting tougher and tougher to defeat them"
8284,6133,Half of African-Americans are dropping out of high school,__label__Support,we have a clear plan to improve our public schools that starts with getting our best teachers into the schools where we need them the most by creating incentives for them to go there
8285,6134,"I was a school board member, and a library board member",__label__Support,My own background is different from his
8286,6135,Mitt Romney is uniquely qualified to fix these problems,__label__Support,We can do better than this
8287,6136,I want to make sure the outcome honors that nobility,__label__Support,I believe I can get this job done
8288,6137,"I laid out seven steps, crippling sanctions were number one",__label__Support,they do work
8289,6138,"The issue of our natural resources; the right of posterity to inherit the earth, and what kind of earth will it be?",__label__Support,"Those are some of the great issues - atomic warfare, the use of our natural resources, and the issue of nationalism - that I intend to be talking about in the remaining six weeks of this campaign"
8290,6139,we've also got to make sure that in every walk of life we do not tolerate discrimination,__label__Support,I'm going to continue to push on this issue for the next four years
8291,6140,We encourage parents to take a look at the comparative results of schools,__label__Support,We have a strong charter school movement that I signed the legislation to get started in the State of Texas
8292,6141,it's politicians like Secretary Clinton that have caused this problem,__label__Support,it's really a shame
8293,6142,"we spend at least $60 billion a year on insurance, administrative cost, bureaucracy, and government regulation that wouldn't be spent in any other nation",__label__Support,"we have to have, in my judgment, a drastic simplification of the basic health insurance policies of this country, be very comprehensive for everybody"
8294,6143,"Manufacturing jobs went up also in the 1990s, if we're actually going to look at the facts",__label__Support,I think my husband did a pretty good job in the 1990s
8295,6144,That's going to be critical,__label__Support,"We have to go to the root cause, and that is in Afghanistan and Pakistan"
8296,6145,the president is cutting the COPS program in America,__label__Support,We hadn't done the work that ought to be done
8297,6146,I have studied these trade agreements till the world has gone flat,__label__Support,we don't have good trade agreements across the world
8298,6147,joining a gang is like joining a family,__label__Attack,Where have we come if joining a gang is like being a member of the family?
8299,6148,I thought it was a bad decision,__label__Support,I think that decisions should rest in the hands of the states
8300,6149,"Mitt Romney was governor of Massachusetts, where 87 percent of the legislators he served, which were Democrats",__label__Attack,"That's coming from a Republican Congress working bipartisanly, 7 percent rating"
8301,6150,His name is Randy Ellis,__label__Support,"He has a 15-year-old daughter named Caley, who is in Sarasota High School"
8302,6151,We're working through the international organizations,__label__Support,We are helping
8303,6152,We  've had eight years of talk but no action,__label__Support,there's an awful lot of evidence that there hasn't been any bipartisan leadership out of this administration or Al Gore
8304,6153,I like Senator Dole,__label__Support,We just see the world in different ways
8305,6154,they're the ones that are going to spend most of their life in the 21st Century,__label__Support,They're the ones who have the challenges
8306,6155,I was disappointed in the ruling,__label__Support,abortions ought to be more rare in America
8307,6156,"As an aid to enlistment. we had an aid - 46% of the people who enlisted in the voluntary military up until 1977 said they did so for one particular reason, the G.I. Bill of Rights",__label__Support,"the fact that, by serving in the military, they could provide for a future college education"
8308,6157,"these countries can't develop unless all the population, not just half of it, is developing",__label__Support,"Number three, we do have to make sure that we're protecting religious minorities and women"
8309,6158,"it's now time for the next stage of welfare reform, and include fathers and not only mothers",__label__Support,I also think it's very important to go to the next stage of welfare reform
8310,6159,it's clear that the defense budget of this administration has taken defense as a percent of our national economy to a lower level than it was prior to Pearl Harbor,__label__Support,"I don't think, Jim, that Bob Dole was suggesting that the defense of our country is a jobs or a socioeconomic program"
8311,6160,We have attempted to persuade Chiang Kai-shek as late as January of 1959 to reduce the number of troops he has on them,__label__Support,This is a serious issue
8312,6161,"They thought they were going to get that deal, but when he took the person in charge of the negotiations out of the State Dept and put him in charge of the reelection campaign, the deal unraveled",__label__Attack,he reached a deal with Boris Yeltsin to completely remove them so we can all sleep safely without any fear tonight
8313,6162,Iran and North Korea are now more dangerous,__label__Support,"As president, I'll never take my eye off that ball"
8314,6163,"I will have in my race more than $100 million put in—of my money, meaning I’m not taking all of this big money from all of these different corporations like she’s doing",__label__Support,Pretty much self-funding mine
8315,6164,"so much of it is, gets into a whole other phase of things",__label__Support,it's a combination of these things
8316,6165,We can work with them,__label__Support,we can be a partner with China
8317,6166,We proposed and passed a healthy forest bill which was essential to working with -- particularly in Western states -- to make sure that our forests were protected,__label__Support,I'm a good steward of the land
8318,6167,That's another way to improve the environment,__label__Support,We also ought to convert more vehicles to compressed natural gas
8319,6168,"He's got to raise 20,000 bucks a week to have enough money to run",__label__Support,None of them ever get implemented
8320,6169,Obamacare is a total disaster,__label__Attack,Obamacare was the first step
8321,6170,That's what he said.,__label__Support,"He said he did the right thing then, he knew it wouldn't work at the time"
8322,6171,we hope that their leadership takes the right decision,__label__Support,the deal we'll accept is they end their nuclear program
8323,6172,do we want this country to go that far left,__label__Attack,He is very passionate
8324,6173,"I'm going to run a foreign policy that actually does what President Reagan did, President Eisenhower did, and others",__label__Support,"I'm going to make people feel good about being safe in our military, and not overextended"
8325,6174,I know how to work with them,__label__Support,Pakistan is a very important element in this
8326,6175,he has a very clear favorite in this race,__label__Support,you continue to get help from him
8327,6176,President Bill Clinton promised to create 8 million jobs,__label__Support,That is a record of promises made and promises kept
8328,6177,He just doesn't understand how the borders work,__label__Support,They're much better protected today than they were when I was the governor of Texas
8329,6178,A billion dollars more than the president recently signed into law.,__label__Support,It starts with a billion dollar pay raise for the men and women who wear the uniform
8330,6179,They feel as if they had finally an administration who was going to take this issue seriously,__label__Support,those workers don't feel that way
8331,6180,And Saddam Hussein was a threat,__label__Support,I think it's worth it
8332,6181,"You haven't just accepted research, Mr. President",__label__Attack,"I said, and the Joint Chiefs of Staff agreed with me, that it was time for us to turn our research ability to seeing if we could not find this kind of defensive weapon"
8333,6182,American citizens understand that,__label__Support,they understand that responsibility
8334,6183,I've done these things,__label__Support,I'll get our incomes up
8335,6184,they are in no way in a fair fight with a heavily armed opponent bent on ethnic cleansing,__label__Support,I think we have to consider whether or not we should lift the arms embargo now on the Bosnians
8336,6185,he sets the policy for this administration,__label__Support,I support the president
8337,6186,I think their record on the environment is inexcusable and often shameful,__label__Support,"I think our future requires a President to lead us in an all-out search to advance our education, our learning, and our science and training"
8338,6187,"when he makes statements like this, what does this do to American prestige",__label__Support,"I would say this with regard to this report, with regard to Gallup Polls of prestige abroad and everything else that we've been hearing about ""what about American prestige abroad"": America's prestige abroad will be just as high as the spokesmen for America allow it to be"
8339,6188,we invested in our military,__label__Support,We won the Cold War
8340,6189,You have choice,__label__Support,"If you like your high premiums, you keep them"
8341,6190,"There were hunting opportunities, for instance, that haven't previously been available and so forth",__label__Support,"it had, at the signing of the bill, both the pro-gun and the anti-gun people came togethe"
8342,6191,anybody can play with these votes,__label__Support,I have supported or voted for tax cuts over 600 times
8343,6192,They own it,__label__Support,"The reform we would like to offer is to allow our young people to begin to take a portion of the payroll tax, 2% of it, and invest it in a personal retirement account"
8344,6193,They're going to Mexico,__label__Support,All you have to do is take a look at Carrier air conditioning in Indianapolis
8345,6194,"People contribute, I contribute",__label__Support,"The money goes 100 percent -- 100 percent goes to different charities, including a lot of military"
8346,6195,prevent war from happening in the first place,__label__Support,I intend to keep the peace
8347,6196,We can have enough clean energy to power every home,__label__Support,here's what we can do
8348,6197,when we don't give our pilots the flying hours they need to maintain their proficiency,__label__Support,we undermine that morale
8349,6198,I've joined this team that is a team of mavericks with John McCain,__label__Support,where we're known for putting partisan politics aside to just get the job done
8350,6199,I don't believe any other country can pick up the mantel,__label__Support,I don't think we can turn over these kinds of decisions of the collective defense to the United Nations or anything else
8351,6200,"that not everybody has an opportunity to prove they're qualified, I favor the right kind of Affirmative Action",__label__Support,"I've done more to eliminate Affirmative Action programs I didn't think were fair and tighten others up than my predecessors have, since affirmative action's been around"
8352,6201,We are spending a fortune doing it,__label__Support,They have the bargain of the century
8353,6202,It doesn't set a times schedule,__label__Support,"that communique, calls for the normalization of relations between the United States and the People's Republic"
8354,6203,"I'm offering you my own vision, my own experience, my own proposals",__label__Support,"I think the American people should take into account who we are as individuals, what our experience is, what our positions are on the issues and proposals are"
8355,6204,Wrong,__label__Attack,I find it ironic that he's raising nuclear weapons
8356,6205,If a Negro baby is born - and this is true also of Puerto Ricans and Mexicans in some of our cities - he has about one-half as much chance to get through high school as a white baby,__label__Support,I'm not satisfied until every American enjoys his full constitutional rights.
8357,6206,Putin has outsmarted her at every step of the way,__label__Support,She doesn't like Putin
8358,6207,We in this country can -- can compete successfully with anyone in the world,__label__Support,we're going to
8359,6208,"to be able to say to the Saddam Husseinâ€™s of the world or the Iranians, don't dare threaten our friends",__label__Support,I think it's important for this nation to develop an anti-ballistic missile system that we can share with our allies in the Middle East
8360,6209,I'm ready to provide that leadership,__label__Support,I want to be the commander in chief of this country
8361,6210,I am not going to make the decision as to what the tactics could be,__label__Support,"But I am not going to pick out one and, in advance, hypothetically say, ""Oh, yes, we would send troops there"
8362,6211,Dodd-Frank didn't anticipate putting in place the kinds of regulations you have to have,__label__Support,It's hurt the housing market
8363,6212,We are the one that worked out the prison labor deal,__label__Attack,"Not because we coddled them, but because the Administration was pushed into doing something about it"
8364,6213,four years ago they campaigned on getting prescription drugs for seniors,__label__Support,now they're campaigning on getting prescription drugs for seniors
8365,6214,"How in the name of American democracy can we say to eastern Europe that democratic capitalism will work there if we can't make it work in East L.A. or East Harlem or East Palo Alto, California?",__label__Support,"Civility, responsibility, racial reconciliation, healing the wounds of our country has to be one of the greatest, most singularly important goals for this country here on the edge of the 21st Century"
8366,6215,Last year there were twenty-nine,__label__Support,tomorrow when the preliminary vote is held you will see a strengthening of that position or very closely to it
8367,6216,to go to school,__label__Support,I think the greatest thing that ever happened to the South was the passage of the Civil Rights Act and the opening up of opportunities - uh to black people
8368,6217,took $29 million out of his state pension fund that's equivalent at the federal level of taking out of the Social Security trust fund,__label__Support,I won't do one other thing that he's had to do
8369,6218,I do believe in pluralism.,__label__Support,I do believe in separation of church and state
8370,6219,the record is clear,__label__Support,"when you talk about Social Security, the people that are going to protect it are the Democrats that brought forth that program"
8371,6220,We don't have any inspection,__label__Support,"We don't know whether it's going to work or not, but we keep giving the incentives"
8372,6221,I'm here with a group of 13 people from around the country who helped me prepare,__label__Support,Two days ago we ate lunch at a restaurant
8373,6222,"The United States came together as we haven't in many, many years",__label__Support,I think the biggest dividend of making these tough calls is the fact that we are less afraid of nuclear war
8374,6223,I think the Kerry-Edwards approach basically is to raise taxes and to give government more control over the lives of individual citizens,__label__Support,We think that's the wrong way to go
8375,6224,He wanted to give people rights,__label__Support,I believe that we will be able to get a fix that has alluded everybody else
8376,6225,"the new president of Pakistan, Kardari (sic), has got his hands full",__label__Support,"If you have to do things, you have to do things, and you work with the Pakistani government"
8377,6226,"You, yourself, said in the 1970's that we had a ""hemorrhage on our borders.''",__label__Support,it is the only real territorial threat to the American nation-state
8378,6227,That will reduce medical errors and reduce costs,__label__Support,We're going to do it by making sure that we use information technology so that medical records are actually on computers instead of you filling forms out in triplicate when you go to the hospital
8379,6228,"the problem with the foreign policy of this administration, there is none",__label__Attack,"Bill Clinton, as President, has provided that kind of leadership"
8380,6229,I'd rather be able to just speak to the American people like we just did,__label__Support,And it's so important that the American people know of the choices that they have on November 4th
8381,6230,That's not how America was built,__label__Support,That is not a recipe for growth
8382,6231,this country has yet to deal with the type of inclusionary policies,__label__Support,"It is so very important for Americans, white and black, Jew and Christian, immigrant and native-born, to sit down and talk and listen and begin to understand what it's like to come from that different perspective"
8383,6232,Ronald Reagan and George Bush saved America from decline,__label__Support,George Bush will lead us to the 21st Century
8384,6233,"countries are leaving the coalition, not joining",__label__Attack,There are 30 countries there
8385,6234,here's some trade adjustment assistance money for you to go a community college in your neighborhood,__label__Support,"Got four more years, I've got more to do to continue to raise standards"
8386,6235,African- Americans now 45 percent poverty in the inner cities,__label__Support,You go into the inner cities and—you see it’s 45 percent poverty
8387,6236,He said it would hurt the economy,__label__Support,Senator Dole led the opposition to it
8388,6237,"I am the first president in thirty years who has reorganized the intelligence agencies in the federal government: the CIA, the Defense Intelligence Agency, the National Security Agency and the others",__label__Support,I think uh - we've tightened it up; we've uh - straightened out their problems that developed over the last few years
8389,6238,I want to go back to 1965,__label__Support,That was my first vote against tobacco companies when I said we ought to label cigarettes
8390,6239,I think that would be extraordinarily helpful,__label__Support,I'd like to have that line-item veto for the president
8391,6240,there's gas reserves up there,__label__Support,it was a smart move
8392,6241,you make our -- our nation energy independent,__label__Support,"And, again, voters on November 4th are going to have that choice to either support a ticket that supports policies that create jobs"
8393,6242,The mission was changed,__label__Support,Started off as a humanitarian mission and it changed into a nation-building mission
8394,6243,"This administration came in and put in a James Watt, an Ann Gorsuch, now that's the Bonnie and Clyde, really, of environmental protection",__label__Support,A good example of that is the environmental protection laws that we were talking about a moment ago
8395,6244,We've actively and aggressively pursued him,__label__Support,we've never let up on Osama bin Laden from day one
8396,6245,I think that it basically has fallen,__label__Support,It basically has fallen.
8397,6246,I definitely think there are differences,__label__Support,The first role of the federal government is to keep the American people safe
8398,6247,whether it's character or judgment -- whatever it is -- I have a big difference here on this issue,__label__Support,we'll just have to see how it plays out
8399,6248,It's been crushing,__label__Support,They're just being crushed
8400,6249,there is a problem there,__label__Support,You're putting a lot of business people out of business
8401,6250,There's now a general strike going on,__label__Support,"I think we should support the people of Serbia and Yugoslavia, as they call the Serbia plus Montenegro, and put pressure in every way possible to recognize the lawful outcome of the election"
8402,6251,it's certainly not a nice thing that she's done,__label__Support,I don't deserve that
8403,6252,I think that is the wrong choice,__label__Attack,"another big difference is Governor Bush is proposing to open up some of our most precious environmental treasures, like the Arctic National Wildlife Refuge for the big oil companies to go in and start producing oil there"
8404,6253,There's only been uh - a net savings of $4 billion,__label__Support,He hasn't saved $9 billion with his vetoes
8405,6254,where a year ago it looked like there was a very great possibility that the uh - Communists would take over in Portugal. It didn't happen,__label__Support,We have been successful in Portugal
8406,6255,"they said they would not pass them without cutting deeply into Medicare, Medicaid, education and the environment",__label__Support,"for the last two years, we have had middle-income tax cuts on the table in the Congress and they would not -- they weren't accepted by Bob Dole and Newt Gingrich"
8407,6256,"you isolate China and turn them inward, and then we've made a tremendous mistake",__label__Support,I'm not going to do it
8408,6257,"You were very clear that you would not provide, government assistance to the U.S. auto companies, even if they went through bankruptcy",__label__Support,You said that they could get it in the private marketplace
8409,6258,"in my plan, I add two active duty divisions to the United States Army, not for Iraq, but for our general demands across the globe",__label__Support,we can do the job we need to do with respect fighting the terrorists around the world
8410,6259,He has no record on reforming of health care,__label__Attack,We could have done that in Medicare
8411,6260,"If you don't understand what the cause is, it's virtually impossible to come up with a solution",__label__Attack,"And, look, this probably explains the biggest fundamental difference between John McCain and Barack Obama and Sarah Palin and Joe Biden -- Governor Palin and Joe Biden"
8412,6261,In our time at the frontier of that effort is extending those kinds of rights to gay and lesbian Americans who are citizens of this country and children of the same awesome God just as much as any of the rest of us are,__label__Support,I support
8413,6262,How are we going to pay for an extra $100 billion of the taxpayers' money for this?,__label__Support,how are we going to pay for it
8414,6263,This is basically a problem that is a primary concern to the European Community,__label__Support,We cannot send our people all over the world to solve every problem that comes up
8415,6264,You don't have to go back to Herbert Hoover,__label__Support,The misery index -- unemployment and inflation added together -- it was invented by the Democrats -- went right through the roof
8416,6265,he's done the opposite,__label__Support,this president hasn't even held the kind of statesman-like summits that pull people together and get them to invest in those states
8417,6266,Iran is an enormous threat to Israel and to the Israeli people,__label__Support,it's important for America to confront the situation in Iran
8418,6267,We've got a bumper crop this year,__label__Support,that's the good news
8419,6268,Forty-nine percent increase in funding for elementary and secondary education under No Child Left Behind,__label__Support,It's vital that we deal with any need for additional troops by putting Iraqis into the effort
8420,6269,they're looking for ways to satisfy their desire for a better life and still reduce pollution at the same time,__label__Support,I think that holding onto the old ways and the old argument that the environment and the economy are in conflict is really outdated
8421,6270,We're working hard to sign up children,__label__Support,We just have a different point of view
8422,6271,"We want people to be able to enjoy their lives and know they're going to have a bright and prosperous future, not be at war",__label__Support,That's our purpose
8423,6272,There's been a million and a half this year,__label__Support,I don't take that lightly
8424,6273,they deserve our support,__label__Support,George Bush is the man to do this
8425,6274,We had a recession in fifty-eight,__label__Support,"My judgment is that the Republican party has stood still here in the United States, and it's also stood still around the world"
8426,6275,with the economy that would be generated from a restraint on spending,__label__Support,I think the American people would be willing to make those sacrifices for peace and prosperity in the next uh - four years
8427,6276,"When George Bush went to Nashville, the employees who lost their jobs asked to meet with",__label__Support,They want to know where they're going to get new jobs when their jobs have been destroyed.
8428,6277,There's no easy way to do this when you're dealing with an economy that's traditionally been more closed than one that's traditionally been more open,__label__Support,"You have to gut it out, issue by issue by issue"
8429,6278,They're breaking the system,__label__Support,One thing to blame is these malpractice lawsuits
8430,6279,I think it's true of Latin America also,__label__Support,I don't think that uh - we have moved at least in those two areas with sufficient vigor
8431,6280,refocused our attention on those who actually killed us on 9/11,__label__Support,that's what we've done over the last four years
8432,6281,Governor Bush has done it in Texas,__label__Support,We think we know how to do it
8433,6282,He's talking about that fantastic plan of the Administration to take thousands and thousands of square miles out in the Western states,__label__Support,that's not the $54 billion cost that John is talking about
8434,6283,"when they made that horrible deal with Iran, they should have included the fact that they do something with respect to North Korea",__label__Support,another one powerful is the worst deal I think I've ever seen negotiated that you started is the Iran deal
8435,6284,Certainly not right when it's happening,__label__Support,that's not how a commander in chief operates
8436,6285,I supported,__label__Support,I have a record
8437,6286,I don't think we've got all the facts before we make decisions,__label__Support,I'm not going to let the United States carry the burden for cleaning up the world's air
8438,6287,to make sure that they're treating women with the kind of respect and dignity that every nation that succeeds has shown,__label__Support,"across the board, we are engaging them in building capacity in these countries"
8439,6288,"With the United States, as he said, not so much",__label__Support,Ford is leaving
8440,6289,I think that trade is an important issue,__label__Support,"we need to have smart, fair trade deals"
8441,6290,we bring the price down for everybody,__label__Support,they can keep charging these very high prices
8442,6291,It encourages them to begin a war,__label__Support,every time you make such a concession it does not lead to peace
8443,6292,They're very important parts of the safety net of health care,__label__Support,and they're good
8444,6293,I would have to see what they wanted to do,__label__Support,"if they asked me to be part of some monitoring force -- as we are in the Sinai and have been since 1978 -- to monitor the peace between Egypt and Israel, frankly, I would have to think about it"
8445,6294,"in this increase in poverty, it all had to do with their private earnings",__label__Support,It had nothing to do with the transfer of payments from government by way of many programs
8446,6295,"in Haiti, political violence is much, much smaller than it was",__label__Support,"if we're moving in the right direction and America is leading, we're better off"
8447,6296,no vision care,__label__Support,there are a lot of procedures that haven't kept up in Medicare with the current times
8448,6297,And I hear from my farmers and friends all the time,__label__Support,Every day is earth day if you own the land
8449,6298,"a 50 percent increase in child support and a crime bill with 60 death penalties and 100,000 police and the assault weapons ban",__label__Support,The American people can make up their mind about whether that's a liberal record or a record that's good for America
8450,6299,he just lifted martial law,__label__Support,all of those things happened because the Philippines do crave democracy.
8451,6300,"that program, again, investigated",__label__Support,Less than four-tenths of 1 percent waste or fraud in the program
8452,6301,"He said, if it's good enough for the congressmen and senators to have choice, seniors ought to have choice",__label__Support,the president used that very plan as a reason for seniors to accept his prescription drug plan
8453,6302,The platform suggests that it can be done through economic growth,__label__Attack,it isn't going to be working that way
8454,6303,"It was the largest stock market correction -- one of the largest in history, which foretold a recession",__label__Support,The stock market was declining six months prior to my arrival
8455,6304,"that means 98 percent of American families, 97 percent of small businesses, they will not see a tax increase",__label__Support,"what I've said is, your first $250,000.00 worth of income, no change"
8456,6305,President Lincoln opposed the war and there were people who said maybe he shouldn't be president,__label__Support,I was opposed to the war
8457,6306,"So, yes, this is who Donald Trump is.",__label__Support,So this is who Donald Trump is
8458,6307,I am very much concerned about AIDS,__label__Support,I think that we're showing the proper compassion and concern
8459,6308,I've uh - been one who's loved my nation as many Americans do,__label__Support,I believe that there's no limit placed on what we can be in the future
8460,6309,it's the obligation of the president to do just that,__label__Support,I intend to do so
8461,6310,is have an energy plan,__label__Support,I think that the way to grow this economy is to keep taxes low
8462,6311,"We've had an increase in taxes paid by individuals, payroll taxes, from14 Percent up to 20 percent",__label__Support,"The whole philosophy of the Republican party, including uh - my opponent, has been to pile on taxes on low-income people to take 'em off on the corporations"
8463,6312,It is a commitment that we have to meet if we're going to protect the security of Western Europe,__label__Support,We will meet our commitments to maintain the freedom and independence of West Berlin
8464,6313,If the president were to be reelected you're going to see a $716 billion cut to Medicare,__label__Support,You'll have 4 million people who will lose Medicare Advantage
8465,6314,"He's been able to do that with an educated program for the people of that state by adding some 1,500 new police officers",__label__Support,In the state of Massachusetts he has the homicide rate down to the lowest of any industrial state
8466,6315,The Commander-in-Chief was organizing demonstrations halfway around the world during another era,__label__Support,"How could you be Commander-in-Chief of the armed forces and have some kid say -- when you have to make a tough decision, as I did in Panama or Kuwait and then have some kid jump up and say, ""Well, I'm not going to go."
8467,6316,"most police officers are good, dedicated, honorable citizens who are doing their job, putting their lives at risk who aren't bigoted or aren't prejudiced",__label__Support,it's very important that we not overstep our bounds
8468,6317,Some of the hardest moments since I've been the governor of the State of Texas is to deal with those cases,__label__Support,I'm not proud of any record
8469,6318,we have brought more cases against China for violating trade rules than the other -- the previous administration had done in two terms,__label__Support,"we've won just about every case that we've filed, that has been decided"
8470,6319,That's my religious view,__label__Support,There you can't support that position
8471,6320,I will never cede the authority of our country or our security to any other nation,__label__Support,"I'll never give a veto over American security to any other entity -- not a nation, not a country, not an institution"
8472,6321,"A lot of people are feeling, you know, uneasy",__label__Support,"there’s a lot of fear—in fact, teachers and parents are calling it the Trump effect"
8473,6322,"We ought to do that, then we can have a commission",__label__Support,I'd be happy to have a commission deal with this
8474,6323,The Kennedy-Kassebaum bill that I signed will make it possible for 25 million people to keep their health insurance when they change jobs or when somebody in their family's been sick,__label__Support,we're pursuing a step-by-step reform now
8475,6324,I believe we still have the best foreign intelligence business in the world,__label__Attack,it is very difficult to get the source information that you need to go after something as shadowy as international terror
8476,6325,"We're sending in more Afghans to do the job, Afghans to do the job",__label__Support,That's right
8477,6326,"if we can prevent them from importing the gasoline that they need and the refined petroleum products, that starts changing their cost-benefit analysis",__label__Support,That starts putting the squeeze on them.
8478,6327,"If you purify the pond, the water lilies die",__label__Support,"you can overdo, I'm told, environmental cleaning up"
8479,6328,We have never been asked to send troops to the West Bank,__label__Support,I do not believe Yassir Arafat wants us to send troops to the West Bank
