head,relation,tail
i'm not going to keep on spending money on things to borrow money from china to pay for,support,i'm going to stop other things
"we've got 1,000 extra border patrol on the southern border",support,we could better coordinate our borders and ports
i intend to get it done,support,we will have 10 million more new jobs
"what we're seeing right now is, in my view, a -- a trickle-down government approach, which has government thinking it can do a better job than free people pursuing their dreams",support,it's not working
major responsibility for us in the future,support,a high priority for myself and governor bush to rebuild the u.s. military and to give them the resources they need to do the job we ask them to do for us and give them good leadership
in the state of massachusetts he has the homicide rate down to the lowest of any industrial state,support,"where michael dukakis and i do disagree, what you really ought to get to is what's being done against crime, and what kind of progress he's been able to make"
we didn't use the best trained troops in the world to go kill the world's number one criminal and terrorist,support,that's the enemy that attacked us
maybe it's better just to get together and sit down and talk,support,i know talks have started again today
"so the question here tonight is not where we've been, but where we're going",attack,we all know that we've still got a lot of work to do
unfortunately now he is trying to reassert himself in serbian politics,support,i've been kind of a hard-liner on this issue for more than eight years
people who want to build on their dreams and make sure their kids have an even bigger dreams than they have,support,we all understand what this country has become
it's been a big failure,support,i opposed the grain embargo in my administration
we've got to clean out the barn,support,start getting this investment money on the street
"i spent my life in the private sector, not in government",support,"i'm a guy who wants to help with the experience i have, the american people"
you go to the heart of america's worries tonight,support,it's our job to fix the problem
i think that now is the time to heal our country after the vietnam war,support,i do advocate a pardon for - for draft evaders
"25 percent of the total tax deductions, go for only 1 percent of the richest people in this country",support,it's just a welfare program for the rich
we need to lower the tax rate across the board on working and saving and investing,support,that is not good enough for this country
there are millions of people out there who are counting on this,support,that's the perspective i bring when i think about what's called entitlements
i don't think it should do that,support,i think it should stay in a lockbox
there's no inconsistency,attack,"if you keep changing positions on the war on terror and say things like, ""well, this is just a grand diversion."""
i want it to be the one to finally lead the world to banishing chemical and biological weapons,support,"in terms of peace, we are on the right track"
we need to change a lot of minds before we get there in america,support,this is an issue that will require a new attitude
you're stuck with it,support,i think his liberal vision is a thing of the past
investing in solyndra,support,this isn't basic research
the japanese are breathing down our necks on this,support,they're moving very rapidly
i'm not so sure democracy is any better off in haiti than it was before,support,i didn't think it was a mission worthwhile
"i work with director mueller of the fbi; comes in my office when i'm in washington every morning, talking about how to protect us",support,we're doing everything we can to protect america
"if we can negotiate with the soviet union and bring down the level of conventional forces in europe with deeper cuts in the soviet side,",support,at some point it may be possible to reduce defense outlays
we've got to have somebody that can get up there and bring out the firehoses and get it stopped,support,that's what we're about in the perot campaign
"i said, it's a terrible and a stupid thing",support,we should have never been there
iran is a rogue regime,support,it may not work
there is no connection between the attacks of september 11th and saddam hussein,equivalent,there is not
"it was justice black who talked about great nations, like great men, must keep their word",support,i couldn't disagree more
this is important business,support,i think the government can do better
"to at the same time put a prescription drug benefit on the credit card, a trillion-dollar tax cut for the very wealthy",support,"they talk about this great recession if it fell out of the sky, like, ""oh, my goodness, where did it come from?"""
that's not america folks,support,"we need more chairs, we need a bigger table, we need a greater banquet"
more and more people get on the rolls as poverty increases,support,"if you don't control the health care costs of the entire system, you cannot get control of it"
we've added five hundred thousand jobs in the last two months,support,"for example, as i have said, we have added some four million jobs in the last seventeen months"
"the wealthiest americans have been taxed much less, even though their incomes have gone up",attack,there are many people who believe that the only way we can get this country turned around is to tax the middle class more and punish them more
in a little school everybody is somebody,support,"you need small schools, not big schools"
those are the programs we ought to review first,support,that's where we ought to go
i think senator dole would show more good judgment and discretion than to so describe uh - a heroic and brave and very outstanding leader of the military,support,senator bob dole is so qualified
"we'll be resolute, we'll be strong, and we'll wage a comprehensive war against the terrorists",support,i will never turn over our national- security decisions to leaders of other countries
there is a difference with what the president did in kosovo which i supported and this,support,i would use pressure and diplomacy
i don't know what other weapons the vice president is talking about,support,i have suggested that the president should be given other weapons to protect the national interest in case of national emergency strikes beyond the injunction provision of the taft-hartley act
we've got the largest generation of students in public schools ever,support,it's the largest number ever this year and they'll break the record next year and every year for ten years running
"it's growing more slowly this year than last year, and more slowly last year than the year before",support,the middle class is getting crushed under the policies of a president who has not understood what it takes to get the economy working again
joe biden says democracy’s on the ballot,support,make no mistake about it
i understand and respect the tradition of gun ownership,support,i support the second amendment
i thought her husband's sacrifice was noble and worthy,support,i think it's worth it
i believe that a president has to be willing to do what he thinks is right,support,that's what i will continue to do as president
we've taken 90 percent of the coalition casualties,support,american taxpayers have borne 90 percent of the costs of the effort in iraq
we repeated that message when we went to los angeles,support,we cannot let america's parents stand alone in this competition that they feel they're in with hollywood to raise their own kids and give their kids the faith and values they want to give them
senator dole voted for $900 billion in tax increases,support,we ought to at least get the facts out here on the table so we can know where to go from here
it was my very first bill,support,i'm very proud of it
"does anybody think that bob dole, who almost gave his life for his country, who has served in the senate, who helped save social security, crawled out of a fox hole on riva ridge in northern italy in 1945 to save a wounded radioman? does anybody think in this country that he could possibly want to move our country ahead and leave anybody behind?",support,the amount of money being spent to try to mislead the american people is demagoguery
"every health care economist that looks at it says, over time, what'll happen is the traditional medicare system will collapse",support,"they recruit them, leaving the older, sicker seniors in medicare"
"i have given every bit of evidence, answered every question that's as- been asked me by any senator or any member of the house",support,i think the matter is settled once and for all
"they need the new equipment, the new systems that al gore and i are committed to giving them",support,that's something the same gen. mike ryan of the airforce and all the other chiefs of the services will not be happy about
the net result is we are going to have some improvement in our receipts,support,we expect to have a lower deficit in fiscal year 1978
it will come from the pockets of the people who are living in those very areas,attack,"the anderson-lucey platform for america, program for the 80s, has devoted considerable time, and in very specific detail, we have talked about two things that ought to be done to aid urban america"
we should not only not lift them,support,we should strengthen those sanctions
they did an article which had me totally against the war in iraq,support,i was against the war
"along what he wants to do in terms of corporates, changes in the tax code",support,it costs about $5 trillion
i think the kerry-edwards approach basically is to raise taxes and to give government more control over the lives of individual citizens,support,we think that's the wrong way to go
now there is no start ii deal at all,support,i think president bush made a very serious misstatement of fact in response to ross perot
we've got to do that in washington,attack,washington is broken
"over the long term, in order for us to compete with china, we've also got to make sure, though, that we're taking -- taking care of business here at home",attack,governor romney's budget and his proposals would not allow us to make those investments
"we said, ""why not cut out the middleman?""",support,"as a consequence, what we've been able to do is to provide millions more students assistance, lower or keep low interest rates on student loans"
gerald ford left a five-year projected plan for a military build-up to restore our defenses,support,i question the figure about the decline in defense spending under the two previous administrations in the preceding eight years to this administration
i don't appreciate it when a candidate for president denigrates the contributions of these brave soldiers,support,you cannot lead the world if you do not honor the contributions of those who are with us
my grandma was,support,"my dad who is in the audience today, he's a schoolteacher, had been for many years"
all these leverage buyouts and all these terrible things that have happened to the airline industry,support,we've wrecked the airline industry already
let's not go back and keep assailing a farm bill that passed with overwhelming democrat and republican support,support,we never should go back to that
whine on harvest moon!,support,"if somebody sees a silver lining, he finds a big black cloud out there"
over 50 percent of the settlements go to the attorneys and for administrating overhead,support,we also think you need to limit the awards that the trial attorneys take out of all of this
it provided opportunities for both that both wanted,support,"it had, at the signing of the bill, both the pro-gun and the anti-gun people came togethe"
the budget was more grossly out of balance last year than ever before in the history of our country,support,this doesn't have to be
they had stocked them with centrifuges that were whirling away,support,"with respect to iran, when i became secretary of state, iran was weeks away from having enough nuclear material to form a bomb"
i wasn't the one that said 5.4 percent,support,the difference between where it is and 5.4 percent is 9 million americans without work
"it forces us to think in new ways about strategy, about national security, about how we structure our forces and about how we use u.s. military power",support,i feel very strongly that the significance of 9/11 cannot be underestimated
i didn't think he necessarily made the right decision to take land troops off the table right before we committed ourselves offensively,support,i thought he made the right decision to do so
that will come from either raising the cap and/or finding other ways to get more money into it,support,i will not cut benefits
grow the economy,support,i believe that my plan is better than senator dole's ill-advised $550 billion scheme
i favor that,support,these are the combination of things i want
you cannot believe it,support,it's just not credible
that would not involve committing u.s. troops,support,i do think it's noteworthy that there appears to be an effort underway to get the russians involved
it was a beautiful moment,support,i think she'll do a first-class job on that commission
we have believed in partnership,support,involve the federal government in such partnerships
i believe we ought to give seniors more options,support,i believe we ought to make the system work better
i'm not gonna exclude the american people from that process in the future,attack,"mr. ford speaks from a position of secrecy in negotiations, in secret - in secret treaties that've been uh - pursued and achieved, in supporting dictatorships, in ignoring human rights, we are weak and the rest of the world knows it"
"what we say, what we say at the united nations, what we say in direct conversations with leaders of the world",support,"it is critical that they believe that when america takes action, they can trust what we're doing"
"if we had taken your advice governor romney about our auto industry, we'd be buying cars from china instead of selling cars to china",attack,"governor romney's right, you are familiar with jobs being shipped overseas"
i do know what affirmative action means,support,i know that i'm for it
"under budget, ahead of schedule, saved tremendous money",support,that's what this country should be doing
we need a strong economic package,support,we need a tax cut
"we remember what it was like when we had a spending president and a spending congress, and interest rates",support,we don't want to go back to that
that's something that i'm committed to doing as president,support,"we've got to have somebody who is fighting for patients and making sure that you get decent, affordable health care"
that's your record in arkansas: the biggest tax increase in history,support,that's your record
your co-payments and deductibles have gone up 30 percent just in the last year alone,support,"if you've got health insurance, most of you have seen your premiums double over the last eight years"
they did not think through how power should be exercised,support,we ended up the way we did
it's been there for 20 years,support,he's got a record
"there may be some other statute that was already on the books, but certainly the advocates of the hate crimes law felt that a tough new law was needed",support,it's important
that's not in my value system,support,"mr. president, you measure it by whether you're getting the job done"
"we're going to have to use more gas, more coal and more safe nuclear power for our energy base",support,"i've made some proposals to strengthen the domestic oil industry by more incentive going in to look for, and find, and produce oil; made some incentives in terms of secondary and tertiary production"
he has never been involved in this campaign,support,mr. ayers is not involved in my campaign
it needs to be available for emergency situations,support,i think the imf has got a role in the world
i want to give power back to the states and back to the people,support,that's my difference with the president
"to the extent humanly possible, we get that out",support,i'd get rid of that one from day one
"like joe, i'm also wrestling with the extent to which there ought to be legal sanction of those relationships",support,i try to be open minded about it as much as i can and tolerant of those relationships
he was a prosecutor,support,i think the most important thing i've learned from this process is what i now know about john kerry
nail these things,support,my orientation is let's go do it
"we've got -- i meet veterans all across the country who are trying to figure out, ""how can i get disability payments",support,we haven't adequately funded veterans' care
improving our education system,support,"all those things are designed to make sure that the american people, their genius, their grit, their determination, is -- is channeled and -- and they have an opportunity to succeed"
it penalizes the family farmer,support,it's a tax that taxes people twice
some of which have been echoed here tonight,support,i've already put forward things that'll get this country working fast
"we need, for example, economic assistance",support,what tools do we need to fight us
i certainly would have consulted with governors and elected officials before i would have acted unilaterally,support,that's not the way i would have done it
it was a bipartisan approach,support,there was a chance to get this done
i have voted for the major pieces of environmental legislation that have come down and been voted on in the united states senate,support,i have a very strong record on the environment in the united states senate
"as a matter fact, in - sin- since the late sixties when mr. nixon took office, we've had a reduction in uh - in the percentage of taxes paid by corporations from 30 percent down to about 20 percent",support,"the whole philosophy of the republican party, including uh - my opponent, has been to pile on taxes on low-income people to take 'em off on the corporations"
it's not government investments that makes businesses grow and hire people,attack,governor romney's budget and his proposals would not allow us to make those investments
"that's what my friend from indiana has opposed repeatedly, vote after vote",attack,i would push very strong to see that we reform the entire situation
that was a terrible time for our country,support,he inherited the worst financial crisis since the great depression
you can pull it off of the internet,support,it's in my health-care proposal
"you also had banks making money hand over fist, churning out products that the bankers themselves didn't even understand, in order to make big profits, but knowing that it made the entire system vulnerable",support,it wasn't just on wall street
the highest unemployment of any developed nation of the world,support,"we, in this country, have let our economy go down the drain"
i don't believe trickle down economics will work,support,my plan is a departure from trickle-down economics
"it seems to me that having taken so long to see the sanctions work there, building upon the policy of containment that was successful over a much longer period of time against the former soviet union in the communist block",support,the policy of enforcing sanctions against serbia has just resulted in a spectacular victory for democracy just in the past week
we have to be,support,we were committed to success in iraq
those that can afford it are going to buy in themselves,support,we're going to help americans be able to buy into it
we can do better than this,support,i want to get america's economy going again
it sure did,equivalent,it sure did
we want a democracy in afghanistan,support,i don't think he has to be a dictator
we give small business a 50 percent tax credit so that after we lower the costs of health care,support,i got a better plan
"no, it isn't",attack,is down
"the anderson-lucey platform for america, program for the 80s, has devoted considerable time, and in very specific detail, we have talked about two things that ought to be done to aid urban america",attack,"it seems to totally belie the claim that i heard president carter make a few days ago, that he was the first president that had come forth with a real urban strategy to meet the problems of urban america"
maybe he's for everything as long as it's not helped forward by the government,support,maybe he's for everything if the free market takes care of it
people out there listening know what i believe,support,people know where i stand
we're the best innovators,support,we can clean up our environment and at the same time get our economy going by creating millions of jobs
if we're going to ask young men and young women to protect us and defend us around the world,support,it's time we take a look at the pay scales
he was hoping we'd turn away,support,"that's kind of a pre-september 10th mentality, the hope that somehow resolutions and failed inspections would make this world a more peaceful place"
"all of the other issues, whether prescription drugs for all seniors that are opposed by the drug companies or the patient's bill of rights to take the decisions away from the hmos and give them to the doctors and nurses, opposed by the hmos and insurance companies",support,"if i'm president, the very first bill that joe lieberman and i will send to the united states congress is the mccain-feingold campaign finance reform bill"
what you can do is create a fair playing field,attack,i've never promised that
i think science is real,support,i think it's real
over the last two months i've been traveling all over the country talking to the people about the future,support,i was in kentucky and i spoke to the dyhouse family
"if the country will have voted for the candidate for the presidency and for the proposals that he has made,",support,"whenever a majority of the people are for a program, the house and the senate responds to it"
"if people would say, well, he got elected to do this and then the congress says, okay, i'm going to do it",support,you have to vote for somebody with a plan
we will insist that the disputes between taiwan and the people's republic be settled peacefully,support,we will continue to move for normalization of relations in the traditional sense
i want to be able to tell my grandson when i'm in my later years that i didn't turn away from the evidence that showed that we were doing some serious harm,support,i believe that -- that we ought to recognize the value to our children and grandchildren of taking steps that preserve the environment in a way that's good for them
we’ve got to provide some additional help to small businesses so that they can afford to provide health insurance,support,but we’ve got to get costs down
"if such a defense could be found, wouldn't it be far more humanitarian to say that now we can defend against a nuclear war by destroying missiles instead of slaughtering millions of people",support,propose that we research to see if there isn't a defensive weapon that could defend against incoming missiles
here’s the problem,support,everything’s down
he talked about how optimistic he was and the country was about heading toward elections,attack,"he was optimistic when he came here, then he turned on the tv and listened to the political rhetoric and all of a sudden he was pessimistic"
"the figures also show that the uh, uh - bonded indebtedness of the state of georgia during his governorship went up over 20 percent",support,"i think our record of cutting back employees, plus the failure on the part of the governor's programs to actually save employment in georgia, shows which is the better plan"
test scores are going up,support,there's a new opportunity lying out there in the future
i’m pro-life,support,i don’t apologize for it
"what we've got to do is control it, the growth",equivalent,"what we do need to do, though, is control the growth of these mandatory programs"
the american people can make up their mind about whether that's a liberal record or a record that's good for america,attack,"liberal, conservative, you put whatever label you want on it"
recently the federal trade commission pointed out that some of these entertainment companies have warned parents that the material is inappropriate for children,attack,then they've turned around behind the backs of the parents and advertised that same adult material directly to children
we have huge difference between us on this question,attack,one of the consequences to allow parents to have different choices
you rein in government spending,support,you make our -- our nation energy independent
added 1.9 million new jobs over the past 13 months,support,we're on the move
that's how we're going to reduce demand,support,we've also got to continue to figure out how we have efficiency energy
what we need here are not just high hopes,attack,"senator kennedy has expressed some hopes in this field, hopes which i think all americans would share who want some problem - some progress in this area"
i want to get one with chile,support,i want to continue to work after we get this nafta agreement ratified this coming year
we've got big economic problems,support,we're ready for a recovery
if we lower that rate,support,they will be able to hire more people
you have to have regulations so that you can have an economy work,support,you can't have a free market work if you don't have regulation
we would be pushing very hard to open up those markets and stand up for the american farmer and see that we recapture those foreign markets,support,i think we can do it with the dukakis-bentsen administration
make sure that we're keeping guns out of the hands of criminals,support,we have to enforce the laws we've already got
"when governor romney's campaign was asked about the lilly ledbetter bill, whether he supported it",support,"he said, ""i'll get back to you"
we passed medical liability reform through the house of representatives,support,"we think it can be fixed, needs to be fixed"
in fact it makes it less likely for them to come here,support,you're investing in companies doesn't do that
we have to move ahead in order to stay ahead,support,we have things to do at home
"what can we do to intervene, to make sure that young people have opportunity",support,"that if there's violence on the streets, that working with faith groups and law enforcement, we can catch it before it gets out of control"
when you're talking about something like the death penalty,support,"where michael dukakis and i do disagree, what you really ought to get to is what's being done against crime, and what kind of progress he's been able to make"
the president inherited growth of over 5 percent,support,we had the worst economy in a century
thirty-five to forty countries in the world had a greater capability of making weapons at the moment the president invaded than saddam hussein,support,the world is more dangerous
it's the internal revenue service which estimates now that we aren't collecting $100 billion or more in taxes owed in this country,support,i'm going to have to
where nobody had anything to do with 9/11 before we went in,support,we have four times the number of troops in iraq
we ought to insist on access,support,we didn't have access to their markets
we must increase our strength,support,"in this period of the sixties, america must move forward in every area"
we were committed to success in iraq,support,they don't need the vice president or the president to tell them what they saw
i remember talking by the telephone,support,i'm not even certain you were too excited about that
to make it very clear what is acceptable and not acceptable,support,it's essential for a president to show strength from the very beginning
"you pay $500 for a $5 hammer, you're not buying strength",support,you'll not do that unless you command that budget and make certain we get the strength that we need
it was flawed,support,it was unverifiable
because of the tremendous interest that goes into paying on that debt everything's more expensive,support,everybody's affected by the debt
he didn't do all these things,attack,"i think when you look at those results, you know the plan i've laid out for the future has a very good chance of being enacted if you'll give me a chance to build that bridge to the 21st century"
"our opposition says lower your sights, rest on your laurels",attack,the road of george bush is the road to the future
i said that we'd go after al-qaeda and bin laden,support,we have
we do that all the time,support,"he encourages and other people encourage contacts, and negotiations, and all other things"
in my opinion they're going to be de- be greater,support,i think it may be necessary that we have more taxes
you can spend it on anything you want to,support,there's no control over what you do with that money
if you believe the same thing,support,you just don't want to raise taxes on people
it's taken months and months and months to get mr. bush and the administration to support that legislation,support,"that, too, is a major difference between the vice president and me"
"one, of course, is to raise taxes",support,"mathematically, there are three ways that you can cut a deficit"
i think that we should go further and require teacher testing for new teachers also,support,education is my number one priority
i've also advocated that we stop the sale by germany and france of - processing plants for pakistan and brazil,support,the nonproliferation of atomic weapons is number one
"make one last great effort to provide for control of nuclear testing, control of nuclear weapons, if possible, control of outer space, free from weapons, and also to begin again the subject of general disarmament levels",equivalent,i feel that another effort should be made by a new administration in january of 1961
putting american troops on the ground? that's got to be within the national security interests of the american people,support,what is in the national security of the american people
"understand what this means ""without preconditions",support,"it means is that we don't do what we've been doing, which is to say, ""until you agree to do exactly what we say, we won't have direct contacts with you"
i'm sure there isn't any doubt in the mind of the russians,support,we will meet our commitments to maintain the freedom and independence of west berlin
last week when we were trying to get the export administration act through the congress - necessary legislation - my administration went to capitol hill and tried to convince the house and the senate that we should have an amendment on that legislation which would take strong and effective action against those who uh - participate or cooperate with the arab uh boycott,support,again governor carter is inaccurate
i know all about poverty and all about need and all about taking care of people,support,i'll keep my word on the economic package
iran is killing isis,support,those three have now lined up because of our weak foreign policy
if we go forward with competitive strategies,support,i believe we can have the strongest and best defense possible
"the record is there, the history is there",support,i think we know well who's going to help clean up this environment
"but for those countries -- north korea, also, under kim jong-il -- we have got to make sure that we're putting the economic sanctions on these countries and that we have friends and allies supporting us in this",support,it is that important
"the soviets with 1,200 of these things, and the alliance with none",support,"if you won't do that, don't leave your allies in europe in a monopoly position"
i say we’re learning to live with it,attack,people are learning to die with it
i know how to fix this economy,support,i've been supporting those
"there are about a hundred and four commodities that have some kind of depletion allowance - different kind of minerals, including oil",support,i believe all of those should be gone over in detail to make sure that no one is getting a tax break
i don't believe that the fact you've got that long resume or had that experience is the real question,attack,the vice president has a long resume
"if we continue with these policies, this trillion and a half dollars worth of new debt that's already been added on the backs of the american taxpayer is going to increase even more",support,"if we continue with this for another four years, then i'm worried about the next generation, whether we can ever turn this situation around"
we never would have got there,equivalent,we never would have got there
my minister knows this and supports me in this position,support,i don't feel that i have a right to go to church
those of us who are elected to positions of political leadership have to reflect those values ourselves,support,it's important that our leaders demonstrate those values from the top
"as a businessperson, i had to have -- i need to know the regulations",support,you can't have a free market work if you don't have regulation
"i had one tell me last week, senator don't cut my medicare",support,i know this to be a fac
you don't measure it by a percentage increase,support,"mr. president, you measure it by whether you're getting the job done"
"when he told me this story, he said it wasn't the help, the cash help",support,he cares about 100 percent of americans in this country
"because he obviously doesn't want to talk about health insurance or health care, which you address",attack,did you require family leave in that legislation?
the average uh american person can't do it,support,"these special kinds of programs have - have robbed the average taxpayer and have benefited those who are powerful, and who can employ lobbyists, and who can have their cpas and their lawyers to help them benefit from the roughly uh - eight thousand pages of the tax code"
it is still going up,support,it has begun to decline
"and one of your compatriots said, you know, whether it was before or right after, trump was definitely—because if you read this article, there's no doubt",support,i was against the war
"i think that defense needs to be -- with fewer people in permanent armed services but with greater mobility on the land, in the air and on the sea, with a real dedication to continuing development of high technology weaponry and well trained people",support,we do have to maintain the world's strongest defense
"and you have to understand, i'm a businessperson",support,"the 28 countries of nato, many of them aren't paying their fair share"
we're selling american automobiles in japan now,support,"in california, we made 37 billion dollars' worth of telecommunications equipment eligible for export for the first time"
i think you've got to look at how one has handled responsibility in office,support,whether or not it's -- the same in domestic policy as well
"we need to make sure that education in either one of our agendas, i think, absolute top of the line",support,we have got to ramp it up and put more attention in that arena
ninety-nine united states senators voted for it,support,i voted for the patriot act
that's one of the reasons the afghan security forces have so much work to do to be able to fight against that,support,they're going to come rushing back in to afghanistan when we go
under president obama we've lost control of things that we used to have control over,support,"whether that was russia, whether that was china, whether it was another country, we don't know"
the policies of the last eight years and -- and washington's unwillingness to tackle the tough problems for decades has left us in the worst economic crisis since the great depression,support,the biggest risk we could take right now is to adopt the same failed policies and the same failed politics that we've seen over the last eight years and somehow expect a different result
something that the vice presidentâ€™s running mate supports,support,we need to expand education savings accounts
if our people have sufficient resources so that they can consume what we produce,support,this country's on the move
i think there was a good opportunity to bring republicans and democrats together to reform the social security system so seniors will never go without,support,same with social security
"on the other hand, uh when you have a bill of that magnitude, with - tho- those many provisions, a president has to sit and decide if there's more good than bad",support,"from the a- analysis that i've made so far, it seems to me that that tax bill does uh - justify my signature and my approval"
"i understand, as well as, with all due respect, the governor or anybody else, what it's like for those people sitting around that kitchen table",support,they're looking for help
"we’re going to make sure that nobody, no corporation, and no individual can get away without paying his fair share to support our country",attack,"we need to reverse that.people like donald, who paid zero in taxes, zero for our vets, zero for our military, zero for health and education, that is wrong"
i think that's a mistake,attack,governor bush is for vouchers
"there's funds for 3,000 new schools created by teachers and parents, sometimes by business people, called charter schools that have no rules, they're free of bureaucracy and can only stay in existence if they perform and teach children",support,the ones that are out there are doing well
i do believe in pluralism,support,i do believe in separation of church and state
"we live in a global economy, not a national economy",support,let's live in a world of reality
i was gone,support,i wasn’t
there are some explorations and things that we can consider in this area,support,we need to get on with it
"she wants their vote, and she does nothing, and then she comes back four years later",attack,she’s done a terrible job for the african-americans
senator kyl had an amendment in order to declare them a sponsor of terror,support,there is the republican guard in iran
president tito is old and sick and there are divisions in his country,support,the next big crisis spot in the world may be yugoslavia
it's time for the man to leave,support,it's time for the man to go
i did not,equivalent,i do not say that
senator kennedy has been hitting that point over and over again,support,"first of all, we hear that our prestige is at an all-time low"
they got separated from their parents,support,it makes us a laughingstock and violates every notion of who we are as a nation
"barack obama though, another story there",attack,anyone i think who can cut off funding for the troops after promising not to is another story
the consumers pay for products and im- and imposing upon the farmers uh - controls on acreage even far more than they have today,support,i think this is the wrong direction
my recommendations on bosnia,support,i admit i was the first one to recommend it
we've got to get rid of a whole bunch of stuff,attack,"the magnitude of the tax cuts that you're talking about, governor, would end up resulting in severe hardship for people, but more importantly, would not help us grow"
i would hope to never have to use force,support,"we use diplomacy every chance we get, believe me"
giving them access to higher education,support,we're matching them up
i did not support the mining of the harbors in nicaragua,support,it is a violation of international law
he mentioned good schools,support,i totally agree
if you want to put food on the table for your families,support,"if you can make 50 cents in the heart of mexico, for example, or make $5 here in america, $5. 15, you're going to come here if you're worth your salt"
he is forthright,equivalent,"he, he is honest"
he said also that his two favorite justices are justice scalia and justice thomas,support,you get a pretty good sense of where he's heading if he were to appoint somebody
"i think we should support the people of serbia and yugoslavia, as they call the serbia plus montenegro, and put pressure in every way possible to recognize the lawful outcome of the election",attack,now he is trying to not release the votes and then go straight to a so-called runoff election without even announcing the results of the first vote
we're not going to get money that way,support,capital gains are going to continue to be at a low rate
we're ahead of japan,support,the united states' economic recovery from the recession of a year ago is well ahead of the economic recovery of any major free industrial nation in the world today
we're going to have to make it on the convention forces,support,now we've got a very good concept called competitive strategies
we just had the election there,support,peace in bosnia
"in 1975, we almost brought israel to their knees after the uh - yom kippur war by the so-called reassessment of our relationship to israel",support,we in effect tried to make israel the scapegoat for the problems in the middle east
that was locker room talk,support,"it was locker room talk, as i told you"
everybody's getting a fair shot,support,everybody's getting a fair share
i think we're very close to getting that job done,support,i am optimistic for the future
it works great,support,"under my plan, if a school is failing, we work with the states to give them the authority and the resources to close down that school and reopen it right away with a new principal, a new faculty, a turn-around team of specialists who know what they're doing"
i want think they want somebody with common sense who can do what's best for the american people,support,that's what's wrong with mr. bush
the united states is still the indispensable nation in the aftermath of the cold war and on the brink of the 21st century,support,"i have worked to support our country as the world's strongest force for peace and freedom, prosperity and security"
"now, we have a big difference on this",attack,"under governor bush, texas has sunk to be 50th out of 50 in health care -- in health insurance for their citizens"
"shift from oil to coal, emphasize research and development on coal use and also on solar power, strict conservation measures, not yield every time that the special interest groups uh - put pressure on the president like uh this administration has done, and use atomic energy only as a last resort with the strictest possible safety precautions",support,that's the best overall energy policy in the brief time we have to discuss it
i'm going to create tremendous jobs,support,i say they're wrong
"the president himself suggested that the reduction in the growth of medicare over the next five or six years ought to be held to 6 percent under the republican plan, irrespective of the numbers, it will grow at 7 or even more percent",support,they have absolutely no plan
"in those respects, we're not strong",attack,i think that militarily we are as strong as any nation on earth
"we need new jobs, good jobs, with rising incomes",support,"we have to build an economy that works for everyone, not just those at the top"
"we have good executive orders, and the cia and the dia and nasa uh - uh - nsa are now doing a good job under proper supervision",support,we have to do it by executive order
"i never said -- and i defy you to find where i said -- i gave an extensive environmental speech in april, and i said that we ought to have a goal of raising the fuel efficiency standards to 40 miles a gallon",support,i think we should try to raise the fuel efficiency
"if they had that money without those government restrictions, every one of them has told me they could make great savings and make far greater use of the money",support,i think one of the problems today with the cities is federal aid
"in some ways, we've got some data on which approach is more likely to create jobs and opportunity for americans",support,i believe that the economy works best when middle-class families are getting tax breaks so that they've got some money in their pockets
"prime minister allawi was here. he is the leader of that country. he's a brave, brave man. when he came, after giving a speech to the congress, my opponent questioned his credibility",attack,my opponent says he's going to try to change the dynamics on the ground
we have maintained the ability to serve as an honest broker,support,we stand with israel
cut the capital gains rate,support,get the economy going
to really make progress on the reduction of conventional forces in europe,support,i strongly supported
"you're familiar, i'm sure, with the recognition given in the air force to uh - general james",support,i'm proud of the record
i certainly didn't feel i should commit american troops to throw him out of where he had gone,support,that was the only way to do that
"we came here loving this nation, serving it, and it has served all of our most bountiful dreams",support,it must be an american answer that is consistent with justice and due process
